"advertiser_id","advertiser_name","advertisers_with_eligible_prices","arrival","best_price_amount","best_price_currency","best_price_eurocents","cheapest_price","city","construction_year","country","departure","distance_info","forecasted_price_amount","forecasted_price_eurocents","has_special_offer","highlights","hotel_category","hotel_id","hotel_name","latitude","longitude","review_count","star_rating","user_rating"
,,"23","2026-09-19",,,,,"London","1992",,"2026-09-20","1.4 miles to Trafalgar Square","105","12210",,"Tranquil indoor swimming pool, Refined Belgian cuisine at Belgo",,"100/12642","Crowne Plaza London - Kings Cross By Ihg","51.52650833129883","-0.11379999667406082","22813","4","8.0"
,,"18","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to Hyde Park","69","8059",,"On-site fitness center, Victorian heritage architecture",,"100/18433","Park Grand Paddington Court","51.51359939575195","-0.1799899935722351","16019","4","7.7"
,,"17","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to Hyde Park","137","15950",,"Historic Italian marble entrance, Award-winning recognition",,"100/48076","The Marble Arch Hotel, by Thistle","51.51416015625","-0.15665000677108765","26901","4","8.5"
,,"21","2026-09-19",,,,,"London",,,"2026-09-20","0.9 miles to Trafalgar Square","105","12259",,"City views from private balconies, Signature Apex duck companion",,"100/2143734","Apex Temple Court Hotel","51.51382064819336","-0.10891000181436539","14104","4","9.2"
,,"15","2026-09-19",,,,,"London",,,"2026-09-20","0.9 miles to Trafalgar Square","64","7470",,"Designer conversion on Fleet Street, Family rooms with sleeping lofts",,"100/5075170","The Z Hotel City","51.51380157470703","-0.11039000004529953","9596","3","8.1"
,,"16","2026-09-19",,,,,"London","2008",,"2026-09-20","1.0 miles to Big Ben","40","4654",,"Iconic Shard skyline views, Modernized Southwark base",,"100/968575","Travelodge London Central Southwark","51.50379180908203","-0.10245999693870544","12475","3","7.5"
,,"16","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to City centre","58","6749",,"Theatreland and West End access, Compact luxury design concept",,"100/18957124","The Z Hotel Holborn","51.51573944091797","-0.11967000365257263","14880","3","8.2"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","0.5 miles to Trafalgar Square","241","28100",,"Radio Rooftop panoramic views, Signature STK London steakhouse",,"100/2187830","ME London","51.51182174682617","-0.11890000104904175","9871","5","9.0"
,,"2","2026-09-19",,,,,"London",,,"2026-09-20","1.3 miles to City centre","190","22138",,"Traditional dining at the Great Hall, Private Mecklenburgh Square Garden access",,"100/5718992","Goodenough College – University Residence","51.52457809448242","-0.11861000210046768","2534","4","8.5"
,,"27","2026-09-19",,,,,"London","1901",,"2026-09-20","0.8 miles to Trafalgar Square","146","16991",,"Georgian townhouse heritage, Award-winning guest services",,"100/12701","The Montague On The Gardens","51.520198822021484","-0.1256600022315979","10471","4","9.4"
,,"19","2026-09-19",,,,,"London","2013",,"2026-09-20","0.5 miles to Trafalgar Square","195","22734",,"Historic mansion with Dickensian ties, Family-friendly multi-bed suites",,"100/2760188","The Resident Soho","51.514808654785156","-0.13412000238895416","8736","4","9.4"
,,"18","2026-09-19",,,,,"Southwark","2015",,"2026-09-20","Southwark, 1.1 miles to London","131","15295",,"Heated indoor swimming pool, Industrial-chic design concept",,"100/3757044","Hilton London Bankside","51.50564956665039","-0.10113000124692917","11324","4","9.2"
,,"0","2026-09-19",,,,,"London","2006",,"2026-09-20","0.9 miles to Hyde Park",,,,"Imperial College London summer stay, Ethos Sports Centre facilities",,"100/481221","Princes Gardens","51.498680114746094","-0.17284999787807465","12143","4","7.5"
,,"21","2026-09-19",,,,,"London",,,"2026-09-20","2.3 miles to City centre","140","16350",,"Mediterranean rooftop pool and bar, BiBo Shoreditch by Dani García",,"100/6918080","Virgin Hotels London - Shoreditch","51.52368927001953","-0.08055000007152557","3475","5","8.7"
,,"19","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to Hyde Park","156","18167",,"British-inspired Reform Social & Grill, Unique two-story Terrace Suite",,"100/12707","The Mandeville Hotel","51.51641845703125","-0.15095999836921692","11093","4","8.6"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to Big Ben","66","7627",,"Historic former granary setting, Central London landmark proximity",,"100/152921","City London Hotel","51.499088287353516","-0.10197000205516815","4952","3","8.2"
,,"20","2026-09-19",,,,,"London","1866",,"2026-09-20","0.4 miles to Buckingham Palace","199","23179",,"Michelin-starred Ormer Mayfair dining, Curated celebrity photography collection",,"100/46571","Flemings Mayfair - Small Luxury Hotel of the World","51.506439208984375","-0.14515000581741333","6258","5","8.8"
,,"15","2026-09-19",,,,,"London",,,"2026-09-20","1.4 miles to Airport London City","115","13345",,"Signature rooms with London skyline views, Compact and cozy urban retreats",,"100/2873246","The Belgrave Hotel","51.4901008605957","-0.1381399929523468","7767","4","8.7"
,,"23","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to City centre","232","26988",,"Victorian elegance and contemporary chic, Private rooftop terrace suites",,"100/6210868","Althoff St. James's Hotel & Club","51.50614929199219","-0.14026999473571777","3685","5","8.9"
,,"10","2026-09-19",,,,,"London","1870",,"2026-09-20","1.4 miles to Trafalgar Square","59","6866",,"Versatile multi-guest family rooms, Historic redbrick townhouse charm",,"100/123050","Princess Hotel","51.52894973754883","-0.12324000149965286","1990","2","8.0"
,,"7","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to City centre","69","8030",,"Modern high-rise city views, Thyme bar and restaurant",,"100/39096042","Premier Inn London Waterloo - Lambeth Road","51.49599075317383","-0.11276999861001968","778","3","8.8"
,,"25","2026-09-19",,,,,"London",,,"2026-09-20","0.9 miles to Trafalgar Square","72","8428",,"Quiet private garden views, Conservatory restaurant and terrace",,"100/893427","Grange Beauchamp Hotel","51.520408630371094","-0.12483999878168106","3973","4","7.8"
,,"2","2026-09-19",,,,,"London",,,"2026-09-20","1.3 miles to City centre","67","7797",,"St Paul's Cathedral proximity, Compact and clever room design",,"100/48988834","hub by Premier Inn London Farringdon (Old Bailey)","51.517059326171875","-0.10279999673366547","316","3","8.6"
,,"7","2026-09-19",,,,,"London","2016",,"2026-09-20","0.4 miles to Trafalgar Square","143","16673",,"Ozone-treated swimming pool access, Mid-century modern interior design",,"100/5162544","Golden Square Soho","51.51169967651367","-0.13660000264644623","1715","3","7.4"
,,"19","2026-09-19",,,,,"London","1931",,"2026-09-20","0.6 miles to Buckingham Palace","557","64837",,"Exclusive 45 Park Lane pool access, The Grill by Tom Booton",,"100/48161","The Dorchester","51.50706100463867","-0.1523900032043457","7701","5","9.3"
,,"23","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to Buckingham Palace","162","18806",,"Heritage fleet of vintage cars, J Wellness Circle spa rituals",,"100/32788","St. James' Court, A Taj Hotel, London","51.49858856201172","-0.1373399943113327","16806","4","8.7"
,,"18","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to Trafalgar Square","45","5267",,"Historic Georgian townhouse charm, Flexible room configurations",,"100/149034","Arran House Hotel","51.522071838378906","-0.1324000060558319","4358","3","7.0"
,,"20","2026-09-19",,,,,"London","1999",,"2026-09-20","0.8 miles to Trafalgar Square","122","14195",,"Exclusive Gail's Bakery partnership, Historic Bloomsbury digital retreat",,"100/12702","Numa London Bloomsbury","51.518768310546875","-0.13204999268054962","7110","4","8.0"
,,"17","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to City centre","79","9246",,"Seamless digital check-in, 24-hour canteenM dining",,"100/28640342","citizenM London Victoria Station","51.49525833129883","-0.14151999354362488","9855","4","9.0"
,,"8","2026-09-19",,,,,"London",,,"2026-09-20","1.1 miles to Trafalgar Square","90","10474",,"Versatile private family rooms, Central West End base",,"100/1032838","YHA London Central","51.52054977416992","-0.1423500031232834","13669","4","8.4"
,,"24","2026-09-19",,,,,"London",,,"2026-09-20","0.5 miles to Buckingham Palace","203","23569",,"Classic Dover sole at Butler's, Quintessential British townhouse charm",,"100/47200","The Chesterfield Mayfair","51.5076904296875","-0.1471399962902069","10088","4","9.4"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to Trafalgar Square","164","19067",,"Exclusive local dining discounts, Newly refurbished luxury suites",,"100/47149","The Rathbone Hotel, Fitzrovia","51.51866149902344","-0.13551999628543854","4833","4","8.7"
,,"18","2026-09-19",,,,,"London",,,"2026-09-20","0.4 miles to Hyde Park","76","8795",,"Off-site fitness center access, Victorian townhouse boutique concept",,"100/46318","Park Grand Hyde Park","51.51565933227539","-0.17991000413894653","9324","4","7.5"
,,"18","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to Trafalgar Square","179","20802",,"Grade II-listed telephone exchange, The Apartment event space",,"100/3503210","The Hoxton, Holborn","51.51723098754883","-0.12200000137090683","9581","4","8.9"
,,"13","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to Buckingham Palace","44","5133",,"Family-friendly quadruple rooms, Central Westminster Borough location",,"100/81867","easyHotel Victoria","51.492008209228516","-0.14203999936580658","7444","3","6.7"
,,"21","2026-09-19",,,,,"London",,,"2026-09-20","0.9 miles to Trafalgar Square","84","9778",,"Polished brasserie dining, Edwardian redbrick architectural charm",,"100/48068","Thistle London Bloomsbury Park","51.52088165283203","-0.12296999990940094","5945","3","7.5"
,,"15","2026-09-19",,,,,"London","1912",,"2026-09-20","1.3 miles to Trafalgar Square","80","9315",,"Georgian crescent heritage setting, Private garden and terrace access",,"100/1504047","Studios2Let","51.52714157104492","-0.12761999666690826","19476","3","7.9"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to City centre","181","21078",,"Sophisticated retro-chic dining, The Guardsman signature rooms",,"100/18961294","The Guardsman","51.498878479003906","-0.1369899958372116","3179","5","9.3"
,,"22","2026-09-19",,,,,"London","1898",,"2026-09-20","1.0 miles to Trafalgar Square","234","27189",,"Therabody wellness menu, High-performance fitness studio",,"100/12708","Kimpton Fitzroy London By Ihg","51.522640228271484","-0.12511999905109406","6981","5","9.1"
,,"19","2026-09-19",,,,,"London","2017",,"2026-09-20","0.8 miles to City centre","234","27276",,"South American inspired dining, Ethnobotanical cocktail bar",,"100/7809234","The Mandrake","51.517578125","-0.13547000288963318","1972","5","8.6"
,,"17","2026-09-19",,,,,"London","1867",,"2026-09-20","0.7 miles to Buckingham Palace","90","10470",,"Grade II listed Georgian heritage, Private cinema room hire",,"100/98752","Georgian House Hotel","51.490638732910156","-0.14381000399589539","8959","4","8.6"
,,"13","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to Big Ben","21","2439",,"Hearty pub grub and burgers, Lambeth North Tube station proximity",,"100/1328481","PubLove @ The Steam Engine,Waterloo","51.49689865112305","-0.11264000087976456","7627","2","7.8"
,,"16","2026-09-19",,,,,"London",,,"2026-09-20","1.2 miles to Trafalgar Square","28","3292",,"Themed floors and screening room, Bespoke travel shop and tours",,"100/12667","Generator London","51.52619934082031","-0.12482000142335892","32228","2","7.2"
,,"4","2026-09-19",,,,,"London",,,"2026-09-20","0.5 miles to City centre","131","15236",,"Seven Dials village exploration, Leicester Square transport links",,"100/23071908","Seven Dials Hotel Annexe","51.51490020751953","-0.12541000545024872","272",,"6.8"
,,"23","2026-09-19",,,,,"London","1899",,"2026-09-20","0.7 miles to Hyde Park","256","29810",,"Historic 1899 railway hotel charm, Bespoke Landmark Tea of Dreams",,"100/13962","The Landmark London","51.521461486816406","-0.16259999573230743","12829","5","9.1"
,,"22","2026-09-19",,,,,"London","2000",,"2026-09-20","0.8 miles to Trafalgar Square","205","23827",,"Malin+Goetz wellness amenities, Spacious designer terrace suites",,"100/47127","Sanderson London","51.51742172241211","-0.13728000223636627","7802","5","8.7"
,,"20","2026-09-19",,,,,"London","1975",,"2026-09-20","0.4 miles to Buckingham Palace","272","31660",,"Seventh-floor Club InterContinental, Acclaimed Theo Randall restaurant",,"100/46243","Intercontinental Hotels London Park Lane By Ihg","51.50387954711914","-0.15041999518871307","11428","5","8.8"
,,"20","2026-09-19",,,,,"London","1911",,"2026-09-20","0.9 miles to Trafalgar Square","139","16169",,"The Writing Room restaurant, Modern 24-hour fitness studio",,"100/2806922","DoubleTree by Hilton London - West End","51.520111083984375","-0.12210000306367874","11168","4","7.8"
,,"18","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to Big Ben","120","13984",,"Characterful boutique rooms, Authentic English pub atmosphere",,"100/98763","The Mad Hatter Hotel","51.50703811645508","-0.10487999767065048","6376","3","8.7"
,,"19","2026-09-19",,,,,"London","1936",,"2026-09-20","1.3 miles to Trafalgar Square","98","11402",,"Mediterranean flavors at Arado Restaurant, Marylebone district transport links",,"100/48072","Meliá White House","51.52482986450195","-0.14372000098228455","9454","4","8.4"
,,"9","2026-09-19",,,,,"Westminster",,,"2026-09-20","Westminster, 1.5 miles to London","68","7908",,"Sleep-focused cocoon concept, Hyde Park morning walks",,"100/41582236","Zedwell Knightsbridge","51.501609802246094","-0.16142000257968903","1258",,"8.2"
,,"14","2026-09-19",,,,,"London",,,"2026-09-20","1.2 miles to City centre","74","8575",,"Traditional London pub concept, Central London transport links",,"100/19286098","The Ship Rooms","51.49317932128906","-0.11051999777555466","1246",,"8.3"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","0.2 miles to Big Ben","303","35304",,"The Library afternoon tea, 25-meter indoor lap pool",,"100/48150","London Marriott Hotel County Hall","51.50104904174805","-0.11917000263929367","7614","5","8.7"
,,"15","2026-09-19",,,,,"London","1970",,"2026-09-20","1.0 miles to Trafalgar Square","138","16047",,"",,"100/12682","The Imperial","51.522640228271484","-0.1250700056552887","24","3","9.3"
,,"15","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to City centre","80","9322",,"Compact and efficient room design, Oxford Circus transport links",,"100/7931192","The Z Hotel Tottenham Court Road","51.5141716003418","-0.13684000074863434","9243","3","8.2"
,,"19","2026-09-19",,,,,"London","2011",,"2026-09-20","0.5 miles to Big Ben","68","7860",,"Compact and tech-forward urban base, Southbank and Westminster strolls",,"100/1563001","Point A Hotel London Westminster","51.49916076660156","-0.11249999701976776","9287","3","7.9"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to Buckingham Palace","230","26748",,"Historic wartime espionage headquarters, Caxton Bar and Grill",,"100/47705","St. Ermin's Hotel, Autograph Collection","51.499141693115234","-0.1344199925661087","13223","4","9.3"
,,"19","2026-09-19",,,,,"Westminster","2015",,"2026-09-20","3.9 miles to Big Ben","109","12702",,"Refined boutique brick architecture, Royal Westminster neighborhood setting",,"100/4493164","The Resident Victoria","51.49897003173828","-0.14271000027656555","7226","4","9.4"
,,"11","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to City centre","66","7705",,"Fitzrovia district exploration, Relaxed first-floor lounge",,"100/7774312","hub by Premier Inn London Tottenham Court Road (Goodge Street)","51.52151107788086","-0.13471999764442444","5832","3","8.9"
,,"22","2026-09-19",,,,,"London","1",,"2026-09-20","0.5 miles to Buckingham Palace","223","25957",,"Historic royal playground heritage, Tranquil May Fair Spa retreat",,"100/12653","The May Fair, A Radisson Collection Hotel, Mayfair London","51.50822067260742","-0.14425000548362732","17412","5","8.5"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","1.3 miles to Tower Bridge","114","13257",,"Wellness suite with sauna, Historic 1750s brewery architecture",,"100/1770455","The Montcalm at the Brewery London","51.520591735839844","-0.09115999937057495","12961","5","8.2"
,,"20","2026-09-19",,,,,"London","1988",,"2026-09-20","0.5 miles to Buckingham Palace","134","15588",,"Upgraded rooms with skyline views, Modern restaurant and bar",,"100/48083","DoubleTree by Hilton London Victoria","51.49401092529297","-0.14332999289035797","10338","4","8.2"
,,"21","2026-09-19",,,,,"London",,,"2026-09-20","1.1 miles to Hyde Park","158","18352",,"Traditional British carvery dining, Executive rooms with whirlpool baths",,"100/47146","The Rembrandt","51.49605941772461","-0.17041000723838806","11080","4","8.6"
,,"9","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to Trafalgar Square","69","8030",,"Thyme restaurant and bar, Direct Gatwick Airport connection",,"100/2380714","Premier Inn London Blackfriars (Fleet Street) hotel","51.51298141479492","-0.10512000322341919","17804","3","8.7"
,,"8","2026-09-19",,,,,"London",,,"2026-09-20","1.4 miles to City centre","67","7761",,"Vibrant Exmouth Market at doorstep, Compact, modern room design",,"100/33084558","hub by Premier Inn London Clerkenwell hotel","51.52450942993164","-0.10956999659538269","1244","3","9.0"
,,"13","2026-09-19",,,,,"London",,,"2026-09-20","1.3 miles to City centre","93","10792",,"Dickensian literary design concept, First floor courtyard terrace",,"100/35797896","Ruby Stella Hotel London by IHG","51.5229606628418","-0.11050000041723251","3440","3","9.1"
,,"22","2026-09-19",,,,,"London","2012",,"2026-09-20","1.0 miles to Big Ben","117","13593",,"Premium executive room upgrades, Indoor pool and saunarium",,"100/2398847","Novotel London Blackfriars","51.5051383972168","-0.1048400029540062","11242","4","8.8"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","0.5 miles to Tower Bridge","125","14524",,"Independent boutique charm in Southwark, Private Fitness Room and gym access",,"100/46598","London Bridge Hotel","51.50519943237305","-0.0881199985742569","8582","4","9.1"
,,"20","2026-09-19",,,,,"London","1",,"2026-09-20","1.2 miles to Trafalgar Square","117","13620",,"Steak & Lobster restaurant, Custom-made boutique interiors",,"100/12645","Radisson Blu Hotel, London Euston Square","51.524139404296875","-0.13808000087738037","18170","4","8.0"
,,"19","2026-09-19",,,,,"London",,,"2026-09-20","1.4 miles to Hyde Park","35","4023",,"Lexham Gardens townhouse setting, South Kensington cultural hub access",,"100/97729","easyHotel South Kensington","51.49538040161133","-0.18943999707698822","3352","3","6.8"
,,"23","2026-09-19",,,,,"London",,,"2026-09-20","1.2 miles to Tower Bridge","130","15127",,"Sabine Rooftop Bar skyline views, Family-friendly swimming hours",,"100/46294","Leonardo Royal London St Paul’s","51.512779235839844","-0.09967000037431717","25788","4","8.7"
,,"22","2026-09-19",,,,,"London","1914",,"2026-09-20","0.8 miles to Trafalgar Square","430","49998",,"Hokusai-inspired art afternoon tea, Sense Spa bamboo massage treatments",,"100/12711","Rosewood London","51.51757049560547","-0.1178399994969368","9585","5","9.4"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","1.3 miles to Trafalgar Square","60","6971",,"Contemporary international dining, Victorian townhouse boutique concept",,"100/18454","Euston Square Hotel","51.52593994140625","-0.13605999946594238","6412","3","7.3"
,,"17","2026-09-19",,,,,"London","1890",,"2026-09-20","1.0 miles to Trafalgar Square","86","10029",,"Historic Pre-Raphaelite artist home, Central West End transport links",,"100/945667","Arosfa Hotel London by Compass Hospitality","51.52228927612305","-0.13262000679969788","4503","3","8.5"
,,"0","2026-09-19",,,,,"London",,,"2026-09-20","1.6 miles to Trafalgar Square",,,,"Budget-friendly solo traveler rooms, Social courtyard and games room",,"100/1251754","LSE Rosebery Hall","51.52756118774414","-0.10706999897956848","3616","2","8.1"
,,"23","2026-09-19",,,,,"London","2003",,"2026-09-20","0.8 miles to Tower Bridge","129","15003",,"Iconic Shard skyline views, London Bridge transport links",,"100/47141","Novotel London Bridge","51.50550842285156","-0.09519000351428986","11256","4","8.6"
,,"18","2026-09-19",,,,,"London","1900",,"2026-09-20","0.2 miles to Trafalgar Square","127","14742",,"French-Vietnamese restaurant and bar, Historically significant suites",,"100/1722435","Leicester House Hotel","51.5112190246582","-0.13120999932289124","1456","4","8.6"
,,"20","2026-09-19",,,,,"London","1",,"2026-09-20","1.0 miles to Hyde Park","140","16293",,"Eclectic boutique interior design, In-room wellness and beauty treatments",,"100/46277","The Welbeck Hotel By Ihg","51.516841888427734","-0.14948999881744385","2141","4","8.9"
,,"21","2026-09-19",,,,,"London","1906",,"2026-09-20","0.7 miles to Trafalgar Square","174","20265",,"Bloomsbury Street Kitchen, Townhouse-inspired social spaces",,"100/12647","Radisson Blu Hotel, London Bloomsbury","51.517608642578125","-0.1276099979877472","12119","4","8.2"
,,"18","2026-09-19",,,,,"Croydon",,,"2026-09-20","0.6 miles to Buckingham Palace","98","11464",,"Historic Georgian townhouse charm, Versatile family and club rooms",,"100/1990815","Astors Belgravia","51.4935188293457","-0.15017999708652496","6490","4","7.8"
,,"18","2026-09-19",,,,,"London","1910",,"2026-09-20","0.3 miles to Buckingham Palace","513","59701",,"Michelin-starred British dining, Last family-owned luxury hotel",,"100/47717","The Goring","51.4975700378418","-0.14546999335289001","4377","5","9.5"
,,"17","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to City centre","127","14823",,"Soundproofed city-view accommodations, Restored neoclassical apartment living",,"100/26099534","The Lincoln Suites","51.514488220214844","-0.11858999729156494","3734","4","9.0"
,,"8","2026-09-19",,,,,"London",,,"2026-09-20","1.2 miles to City centre","67","7743",,"",,"100/48115750","Zedwell Underground Hotel Park Lane","51.50870895385742","-0.15417000651359558","269","2","7.8"
,,"1","2026-09-19",,,,,"London",,,"2026-09-20","2.3 miles to City centre","43","5003",,"Flagship new design concept, Sky Garden and Shard proximity",,"100/9370388","Travelodge London City","51.51533889770508","-0.0748400017619133","10078","3","8.5"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","1.2 miles to Trafalgar Square","102","11891",,"St. Paul's Cathedral views, 24-hour fitness studio",,"100/47079","Club Quarters Hotel St Paul's, London","51.51396179199219","-0.10113999992609024","8810","4","8.5"
,,"21","2026-09-19",,,,,"London","1880",,"2026-09-20","0.8 miles to Buckingham Palace","79","9196",,"Victorian charm with modern flair, Upscale Pimlico residential setting",,"100/149046","Mornington Hotel London Victoria","51.490318298339844","-0.1403300017118454","2592","4","7.9"
,,"21","2026-09-19",,,,,"London","1972",,"2026-09-20","1.2 miles to Trafalgar Square","105","12201",,"Junction Restaurant British classics, Fitzrovia district cultural hub",,"100/46289","Holiday Inn London - Regent's Park by IHG","51.52251052856445","-0.14282000064849854","14647","4","8.3"
,,"21","2026-09-19",,,,,"London","1999",,"2026-09-20","0.2 miles to Buckingham Palace","244","28368",,"Personalized turndown rituals, Exclusive rooftop terrace access",,"100/15552","Hotel 41","51.49821853637695","-0.14351999759674072","6091","5","9.8"
,,"21","2026-09-19",,,,,"London","2001",,"2026-09-20","0.5 miles to Buckingham Palace","131","15301",,"Venetian cicchetti at TOZI, Leisure club with steam room",,"100/13986","Park Plaza Victoria London","51.49430847167969","-0.1413699984550476","20897","4","8.7"
,,"21","2026-09-19",,,,,"London","1890",,"2026-09-20","1.5 miles to Trafalgar Square","55","6443",,"St Pancras International proximity, Customizable breakfast boxes",,"100/152883","Alhambra Hotel","51.52928924560547","-0.12364000082015991","9357","2","8.1"
,,"19","2026-09-19",,,,,"London",,,"2026-09-20","1.6 miles to Tower Bridge","40","4681",,"Digital Apple Wallet room keys, Compact and utilitarian city base",,"100/5150770","easyHotel London City Shoreditch","51.52442169189453","-0.0946199968457222","7774","3","7.8"
,,"23","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to Trafalgar Square","166","19351",,"Roman-style indoor swimming pool, Vibrant pop-art interior design",,"100/12710","NYX Hotel London Holborn by Leonardo Hotels","51.51939010620117","-0.12092000246047974","14657","4","8.6"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to Buckingham Palace","249","29012",,"Historic seventeenth century townhouses, Dedicated Star Prestige concierge",,"100/47071","The Stafford London","51.50577926635742","-0.14044000208377838","4944","5","9.3"
,,"17","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to City centre","111","12926",,"Playful circus-inspired design, Loft rooms with balconies",,"100/18028564","Ruby Lucy Hotel London by IHG","51.50117111206055","-0.11243999749422073","4391","4","9.1"
,,"17","2026-09-19",,,,,"London",,,"2026-09-20","1.4 miles to City centre","142","16556",,"Music-inspired lifestyle concept, Modern fitness studio",,"100/11184996","The Cumberland, London","51.51380157470703","-0.15905000269412994","33075","4","8.5"
,,"18","2026-09-19",,,,,"London",,,"2026-09-20","0.9 miles to Trafalgar Square","89","10359",,"Authentic Italian dining at Il Pizzaiolo, Historic West End townhouse stay",,"100/1107162","Mermaid Suite Hotel","51.51408004760742","-0.14685000479221344","5045","3","6.5"
,,"24","2026-09-19",,,,,"London",,,"2026-09-20","1.1 miles to Trafalgar Square","102","11903",,"Sophisticated XX-XXVIII Restaurant, Georgian heritage and period charm",,"100/47072","Gem Fitzrovia Hotel","51.521759033203125","-0.14252999424934387","6678","4","8.3"
,,"18","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to Big Ben","118","13779",,"Traditional Victorian pub ambiance, St. James's Park Tube station access",,"100/98772","The Sanctuary House Hotel","51.49956130981445","-0.1318099945783615","6218","3","8.8"
,,"21","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to Trafalgar Square","112","13059",,"Traditional Georgian style rooms, Versatile multi-bed family rooms",,"100/81694","Regency House Hotel","51.52193832397461","-0.13235999643802643","3058","3","7.7"
,,"18","2026-09-19",,,,,"London","1970",,"2026-09-20","0.7 miles to Buckingham Palace","117","13643",,"Family-run Victorian townhouse, Prime Westminster location",,"100/46965","Luna Simone Hotel","51.490779876708984","-0.1386300027370453","7524","3","9.0"
,,"14","2026-09-19",,,,,"London",,,"2026-09-20","1.4 miles to Trafalgar Square","93","10814",,"Proximity to British Library, Lively cafe and natural wine bar",,"100/672156","Kabannas London St Pancras","51.528839111328125","-0.126460000872612","10643",,"7.9"
,,"22","2026-09-19",,,,,"London","2005",,"2026-09-20","1.4 miles to Trafalgar Square","139","16134",,"Panoramic city skyline views, High-tech fitness center",,"100/884185","Pullman London St Pancras","51.52859878540039","-0.12833000719547272","15325","4","8.9"
,,"7","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to Hyde Park","73","8472",,"Townhouse hotel concept, Z Café and courtyard terrace",,"100/4748480","The Z Hotel Gloucester Place","51.51723861694336","-0.1578799933195114","1580","3","8.5"
,,"18","2026-09-19",,,,,"London","2005",,"2026-09-20","0.6 miles to Trafalgar Square","202","23552",,"Panoramic London skyline roof terrace, Heated indoor swimming pool",,"100/132543","Courthouse Hotel","51.514381408691406","-0.1394599974155426","7161","5","7.6"
,,"15","2026-09-19",,,,,"London",,,"2026-09-20","0.5 miles to Tower Bridge","45","5236",,"Tower Hill and City fringe location, Secure luggage storage facilities",,"100/970069","Travelodge London Central Tower Bridge","51.511051177978516","-0.07405000180006027","11046","3","7.6"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","2.2 miles to City centre","80","9268",,"Victorian townhouse boutique concept, Hyde Park and Italian Gardens access",,"100/6475342","The Westbourne Hyde Park","51.51319885253906","-0.17786000669002533","8547","4","8.8"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","1.5 miles to City centre","85","9890",,"Panoramic St. Paul’s Cathedral views, Vibrant Komyuniti social space",,"100/20685470","YOTEL London City","51.52265930175781","-0.10457000136375427","9207","4","8.3"
,,"17","2026-09-19",,,,,"London",,,"2026-09-20","0.5 miles to City centre","390","45442",,"Bespoke wellness and spa treatments, Award-winning Side Hustle bar",,"100/23561900","NoMad London","51.513511657714844","-0.122079998254776","2249","5","9.2"
,,"23","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to Buckingham Palace","99","11528",,"The Latte Stop Italian coffee, Direct city access via Route 24",,"100/47155","Sidney Hotel London-Victoria","51.49032974243164","-0.13861000537872314","12788","3","8.0"
,,"23","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to Buckingham Palace","154","17881",,"Upper floor panoramic city views, Authentic Chinese culinary experience",,"100/47063","Millennium Hotel London Knightsbridge","51.499908447265625","-0.15998999774456024","10260","4","7.7"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to Hyde Park","68","7880",,"Unique split-level rooms, Kensington Gardens proximity",,"100/149129","Grand Royale Hyde Park","51.51102066040039","-0.1863500028848648","20514","4","7.7"
